" Feature Name"|"Antarctica ID"|"Class"|"Latitude"|"Longitude"|"Elevation (m)"|"Decision Year"|"Date Last Modified"|
"Boydell Glacier"|"1784"|"Glacier"|"641100S"|"0590400W"|""|"01-JAN-1964"|""
"Boyer Glacier"|"1793"|"Glacier"|"731800S"|"1672100E"|""|"01-JAN-1969"|""
"Bradford Glacier"|"1810"|"Glacier"|"655100S"|"0641800W"|""|"01-JAN-1971"|""
"Brandau Glacier"|"1827"|"Glacier"|"845400S"|"1733000E"|""|"01-JAN-1966"|""
"Branscomb Glacier"|"1834"|"Glacier"|"783200S"|"0860500W"|""|""|""
"Bravo Glacier"|"18540"|"Glacier"|"623100S"|"0594700W"|""|"01-JAN-2003"|""
"Brecher Glacier"|"18253"|"Glacier"|"804200S"|"1572800E"|""|"01-JAN-2003"|"24-Jan-2003"
"Breguet Glacier"|"1888"|"Glacier"|"641000S"|"0604800W"|""|"01-JAN-1965"|""
"Breitfuss Glacier"|"1901"|"Glacier"|"665800S"|"0645200W"|""|"01-JAN-1952"|""
"Bridgman Glacier"|"1933"|"Glacier"|"722300S"|"1700500E"|""|"01-JAN-1962"|""
"Briggs Glacier"|"1940"|"Glacier"|"541000S"|"0370800W"|""|"01-JAN-1963"|""
"Brook Glacier"|"18832"|"Glacier"|"784200S"|"0850900W"|""|"01-NOV-2006"|""
"Brown Glacier"|"2009"|"Glacier"|"530400S"|"0733900E"|""|"01-JAN-1968"|""
"Brown Glacier"|"2010"|"Glacier"|"745000S"|"0650800W"|""|""|""
"Browns Glacier"|"2029"|"Glacier"|"685600S"|"0780000E"|""|"01-JAN-1956"|""
"Brunner Glacier"|"2052"|"Glacier"|"851400S"|"1753800W"|""|"01-JAN-1966"|""
"Brunonia Glacier"|"2053"|"Glacier"|"540300S"|"0372900W"|""|"01-JAN-1952"|""
"Brunvoll Glacier"|"2060"|"Glacier"|"674800S"|"0664800E"|""|"01-JAN-1953"|""
"Brush Glacier"|"2062"|"Glacier"|"742900S"|"1113600W"|""|"01-JAN-1967"|""
"Bryan Glacier"|"2066"|"Glacier"|"772411S"|"1605532E"|""|"01-JAN-1968"|""
"Bryan Glacier"|"18780"|"Glacier"|"772415S"|"1605545E"|""|"01-JAN-2006"|""
